Distance (cm),Battery (volts),Step limit (15-(30-stride)cm),Stride (1 - 30-steplimit) cm,Stride Count (1 - )
8.5,11,15,2,3
15.5,11,15,2,5
21.5,11,15,2,7
29,10.9,15,2,9
32.6,10.9,15,6,3
57,10.8,15,6,5
82,10.8,15,6,7
106,10.8,15,6,9
57,10.8,15,10,3
96,10.8,15,10,5
133,10.7,15,10,7
171,10.8,15,10,9
70,10.6,15,14,3
118,10.6,15,14,5
171,10.7,15,14,7
217,10.7,15,14,9
9.5,10.6,19,2,3
15.5,10.7,19,2,5
23,10.6,19,2,7
30,10.6,19,2,9
32,10.6,19,6,3
57,10.5,19,6,5
83,10.5,19,6,7
106,10.5,19,6,9
51,10.4,19,10,3
84,10.3,19,10,5
119.5,10.8,19,10,7
154,10.8,19,10,9
10.5,10.9,23,2,3
19,11,23,2,5
27,11,23,2,7
35.5,11,23,2,9
29,10.9,23,6,3
49,11,23,6,5
70,10.9,23,6,7
92,10.9,23,6,9
8,10.8,27,2,3
13.5,10.7,27,2,5
20,10.7,27,2,7
25.5,10.7,27,2,9
7.5,11.1,16,2,3
14.5,11,16,2,5
21,11,16,2,7
27,11,16,2,9
33.5,11.1,16,6,3
56,11.1,16,6,5
80,11.1,16,6,7
104,11.1,16,6,9
53.5,11.1,16,10,3
94,11,16,10,5
131.5,11.1,16,10,7
170,11.2,16,10,9
14.5,11.1,17,4,3
36,11.1,17,4,5
52,11.1,17,4,7
67.5,11.1,17,4,9
32,11.1,17,6,3
56,11.1,17,6,5
80,11.1,17,6,7
105,11.1,17,6,9
53,11.1,17,10,3
58,11.1,17,10,5
124,11.4,17,10,7
163,11.4,17,10,9
22,11.9,18,4,3
37.5,12.3,18,4,5
54,12.4,18,4,7
69,12.4,18,4,9
34,12.3,18,6,3
60,12.3,18,6,5
82,12.3,18,6,7
108,12.3,18,6,9
39,12.4,18,7,3
66.5,12.3,18,7,5
96.5,12.4,18,7,7
123,12.4,18,7,9
42,12.4,18,8,3
74,12.3,18,8,5
105,12.4,18,8,7
134,12.5,18,8,9
51,12.4,18,10,3
85,12.3,18,10,5
119.5,12.3,18,10,7
155,12.3,18,10,9
59,12,19,8.2,4
15,11.6,17,2,4.5
21,11.6,17,2,6.5
28,11.6,17,2,8.5
11,11.5,17,3,2.5
23,11.5,17,3,4.5
34,11.5,17,3,6.5
45,11.5,17,7,3.5
74.5,11.4,17,7,5.5
43,11.4,17,10,2.5
80.5,11.4,17,10,4.5
117,11.4,17,10,6.5
44.5,11.4,17,6,4
69,11.4,17,6,6
24,11.4,17,6.5,2
49,11.4,17,6.5,4
77,11.4,17,6.5,6
19.5,11.4,17,5.5,2
38,11.3,17,5.5,4
65,11.3,17,5.5,6
14,11.3,17,3.5,2.5
28,11.3,17,3.5,4.5
41,11.3,17,3.5,6.5
53,11.3,17,3.5,8.5
24,11.3,17,5.5,2.5
46,11.3,17,5.5,4.5
69,11.3,17,5.5,6.5
31,11.2,17,7.5,2.5
63,11.2,17,7.5,4.5
94,11.2,17,7.5,6.5
52,12,18.3,6.9,4
84.5,12,17.5,7.1,6
69,12,18,7.28,5
78,12,17.8,7,5.8
62,11.9,18.3,6.9,4.75
59,11.9,18.35,7.7,4.2
36,11.8,20.3,2.75,6.8
6.5,11.2,17,1,5
15,11.1,17,2,5
25,11.1,17,3,5
36,11.1,17,4,5
47,11,17,5,5
56,11,17,6,5
67,11,17,7,5
74.5,10.9,17,8,5
82,10.9,17,9,5
90.5,10.8,17,10,5
93.5,10.8,17,11,5
50,11.4,17,5.76,4.64
100,11.2,16.2,6.89,7.39